http_code|time_total|size|elapsed_ms|rate_headers
200|0.213918|94940|325|
200|0.202900|94940|308|
200|0.185020|94940|293|
200|0.239241|94940|351|
200|0.234682|94940|330|
200|0.208613|95004|308|
200|0.208777|95004|310|
200|0.195184|94940|297|
200|0.229594|94940|342|
200|0.523597|94940|634|
